Class,Total,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Other1,Unknown
,"6,82,27,240","1,53,450","1,15,520","29,41,190","98,510","1,24,82,520","7,36,410","2,44,070","46,090","4,60,180","98,70,370","9,33,750","4,78,390","14,95,920","57,330","14,44,160","2,49,720","82,710","1,19,090","1,21,970","3,19,100","95,150","3,82,660","12,03,490","14,05,630","2,83,380","57,800","1,75,780","49,350","2,85,540","23,87,430","63,920","12,76,960","6,19,580","71,72,240","5,33,760","36,740","3,47,510","1,43,230","2,41,830","6,05,150","1,25,870","61,690","1,94,240","21,090","4,23,410","84,73,460","2,49,190","55,200","5,14,310","14,62,060","23,550","1,78,150","25,130","1,95,640","64,06,700"
GMT,"5,37,440",40,700,10,10,190,0,0,0,0,0,60,"3,89,390",80,0,0,0,0,0,0,10,0,50,0,20,30,0,30,10,0,0,0,0,20,10,0,10,0,0,0,0,0,0,0,0,0,410,0,0,0,0,0,0,0,"1,40,140","6,210"
H1B,"7,55,020","1,610",820,"11,080","2,340","1,39,080","6,150","6,440","2,150","4,820","22,780","19,230","1,240",850,570,"26,980","5,010","1,770","1,910","1,840","1,910",960,"7,010","27,610","77,910","6,350",600,"4,080",190,"3,260","1,840","1,550","42,860",960,"74,680","14,970",480,"10,900","1,020","4,550","16,590",200,"1,440","2,690",290,"5,170","72,450","2,640",580,"14,280","70,390",420,"3,520",110,240,"23,680"
H1B1,"2,510",60,0,20,0,800,20,20,10,20,190,40,0,0,0,50,10,0,0,0,0,0,10,90,10,10,0,10,0,10,20,0,120,0,520,20,0,10,0,20,30,0,10,10,0,10,90,20,0,20,200,0,0,0,0,40
H2A,"7,18,530","2,160",100,"3,10,800","5,960","88,050","4,410","1,220",250,120,"47,660","30,450",0,370,"6,610","3,660","2,140","4,670","1,630","7,270","14,530","8,950","1,340",580,"11,360","3,310","6,790","1,620","1,200","2,340","2,760",210,"2,480","7,730","8,480","22,390","2,450","3,850","1,290","5,340","2,930",330,10,"4,830","1,340","5,890","26,970","1,420",360,"3,850","33,380",260,"1,910",280,0,"8,240"
"H2B, H2R","1,75,270","3,030","1,870","10,080","2,640","5,080","6,800",240,410,190,"13,020","5,040","3,030",90,"1,300","2,060","1,660","1,200","1,000","1,080","6,270","1,480","2,870","2,530","3,810","2,270","2,910","3,270",830,"1,140",740,670,"1,790",280,"3,860","5,510","1,060","4,620","1,510","3,860","4,780",60,290,"4,500","1,540","3,380","34,310","2,890",370,"3,770","3,170",280,850,560,60,"3,380"
H3,"1,350",20,0,100,0,210,10,0,0,10,20,30,0,0,0,20,70,0,20,90,10,0,10,40,50,10,0,40,0,80,10,0,30,0,160,0,0,30,0,50,30,0,0,10,0,10,80,10,10,40,40,0,0,0,0,10
H4,"2,86,120",800,480,"6,880","1,440","42,040","3,080","3,800","1,290","1,490","12,160","11,660",400,250,550,"12,670","2,440","1,170","1,250","1,340","1,260",330,"3,110","7,500","13,520","3,200",320,"2,250",140,"1,330",680,720,"18,910",990,"12,440","9,660",340,"6,040",550,"1,820","8,670",60,720,"1,700",240,"2,930","44,420","1,310",240,"6,870","19,740",140,"2,020",60,130,"6,600"
I1,"32,470",80,150,"1,070",60,"6,010",180,60,20,"2,780","3,000",450,80,430,40,460,60,20,20,50,180,30,630,470,140,40,20,60,40,200,860,20,700,20,"5,940",140,10,200,30,160,280,90,50,90,10,140,"3,330",140,20,740,630,50,80,30,10,"1,910"
J1,"4,81,280","2,630","2,680","6,210","1,290","55,090","13,560","7,500","1,770","12,440","26,320","8,840",280,"2,580","1,420","18,400","4,880","1,950","1,600","1,630","2,730","5,570","11,990","34,170","18,830","6,410",670,"4,400","2,760","2,750","2,960","4,320","16,170","1,710","62,890","11,960",730,"8,930","1,450","3,420","18,970",160,"2,040","4,480","1,150","5,300","21,840","5,350","3,440","11,360","12,130","1,360","9,300","1,370",150,"7,000"
J2,"62,000",240,110,"1,500",120,"10,070",740,890,130,770,"3,240","1,450",20,310,50,"2,870",710,240,160,290,490,80,"1,880","5,950","2,210",650,100,700,80,290,360,70,"1,480",350,"6,560","2,930",140,"1,150",190,460,"1,980",20,240,750,70,330,"3,610",520,120,"1,240","1,100",110,380,30,40,"1,450"
K1,"18,660",120,60,380,80,"3,440",270,150,40,170,"2,190",530,50,200,70,760,180,90,100,110,100,40,400,530,340,320,50,150,30,100,270,60,570,60,"1,490",330,30,350,100,200,470,60,50,120,20,190,"1,490",150,20,470,630,30,190,10,10,260
K2,"3,050",20,10,50,20,540,40,20,10,20,540,90,10,30,20,80,40,20,20,20,20,0,50,80,30,30,10,20,10,10,60,10,70,10,240,60,10,60,10,30,60,20,10,20,0,40,270,30,10,50,80,0,30,0,0,20
